BASE,Authors,Title,Year,DOI,Link
SCOPUS,"Saheb T., Sabour E., Qanbary F., Saheb T.",Delineating privacy aspects of COVID tracing applications embedded with proximity measurement technologies & digital technologies,2022,10.1016/j.techsoc.2022.101968,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126576655&doi=10.1016%2fj.techsoc.2022.101968&partnerID=40&md5=37734f61b9a628766ac0b2eab84902e8
SCOPUS,"Aizenberg E., van den Hoven J.",Designing for human rights in AI,2020,10.1177/2053951720949566,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089562553&doi=10.1177%2f2053951720949566&partnerID=40&md5=3bd442c5a50b6110676a04adabd7023d
ACADEMIC,"Añón Roig, María José",DESIGUALDADES ALGORÍTMICAS: CONDUCTAS DE ALTO RIESGO PARA LOS DERECHOS HUMANOS.,jun.2022,10.20318/dyl.2022.6872,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=aph&AN=157533012&lang=pt-br&site=ehost-live"
SCOPUS,"Regina P., De Capitani E.",Digital Innovation and Migrants’ Integration: Notes on EU Institutional and Legal Perspectives and Criticalities,2022,10.3390/socsci11040144,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127775134&doi=10.3390%2fsocsci11040144&partnerID=40&md5=9f30c4d45ce3eb23bb20636c5fc97a50
ACADEMIC,"CEBALLOS, CRISTINA ISABEL; ENGSTROM, DAVID FREEMAN; HO, DANIEL E.",Disparate Limbo: How Administrative Law Erased Antidiscrimination.,nov.2021,,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=aph&AN=153923617&lang=pt-br&site=ehost-live"
ACADEMIC,Bess M,Eight Kinds of Critters: A Moral Taxonomy for the Twenty-Second Century.,2018 Sep 05,10.1093/jmp/jhy018,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=mdc&AN=30189038&lang=pt-br&site=ehost-live"
SCOPUS,Hernández Peña J.C.,"Electoral campaigns, Big Data and ideological profiling. Addressing their problematic from the perspective of the fundamental right to data protection [CAMPAÑAS ELECTORALES, BIG DATA Y PERFILADO IDEOLÓGICO. APROXIMACIÓN A SU PROBLEMÁTICA DESDE EL DERECHO FUNDAMENTAL A LA PROTECCIÓN DE DATOS]",2022,10.18042/cepc/redc.124.02,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130404694&doi=10.18042%2fcepc%2fredc.124.02&partnerID=40&md5=02db0898641df00c447641612d101c74
SCOPUS,"Fukuda-Parr S., Gibbons E.",Emerging Consensus on ‘Ethical AI’: Human Rights Critique of Stakeholder Guidelines,2021,10.1111/1758-5899.12965,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108248580&doi=10.1111%2f1758-5899.12965&partnerID=40&md5=1fd2f5b2347b8e4bb43b3a8a2c1b2f37
ACADEMIC,"McStay, Andrew",Emotional AI and EdTech: serving the public good?,Sep2020,10.1080/17439884.2020.1686016,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=aph&AN=145199378&lang=pt-br&site=ehost-live"
SCOPUS,"Gremsl T., Hödl E.",Emotional AI: Legal and ethical challenges,2022,10.3233/IP-211529,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132710965&doi=10.3233%2fIP-211529&partnerID=40&md5=2250d9a15e5650a82008610e6b8cda0c
ACADEMIC,Fanni R; Steinkogler VE; Zampedri G; Pierson J,Enhancing human agency through redress in Artificial Intelligence Systems.,2022 jun. 05,10.1007/s00146-022-01454-7,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=mdc&AN=35692234&lang=pt-br&site=ehost-live"
ACADEMIC,"SORBÁN, KINGA",Ethical and legal implications of using AI-powered recommendation systems in streaming services.,2021,10.22503/inftars.XXI.2021.2.5,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=aph&AN=152636633&lang=pt-br&site=ehost-live"
SCOPUS,"Ausín T., Martínez M.B.A.",Ethics and health data protection in pandemics: A reference to the case of applications for contact tracking [Ética y protección de datos de salud en contexto de pandemia: Una referencia especial al caso de las aplicaciones de rastreo de contactos],2020,10.5565/rev/enrahonar.1304,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096066943&doi=10.5565%2frev%2fenrahonar.1304&partnerID=40&md5=3be7d34cd93e4e4abadc92569c0cc393
SCOPUS,Leal T.D.Z.,Ethics in Artificial Intelligence from the perspective of Law [La ética en inteligencia artificial desde la perspectiva del derecho],2021,10.15332/19090528.6785,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123072230&doi=10.15332%2f19090528.6785&partnerID=40&md5=67fcbb6f2c6b65e0d20df2de78de2fa0
SCOPUS,Van Kolfschooten H.,EU REGULATION OF ARTIFICIAL INTELLIGENCE: CHALLENGES FOR PATIENTS' RIGHTS,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125098864&partnerID=40&md5=d64d9fc889a7d3e13f84be9c6335a80a
ACADEMIC,"Ross, Graham",Europe's Coordinated Approach to ODR.,2022,10.5553/IJODR/235250022022009001004,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=aph&AN=158051789&lang=pt-br&site=ehost-live"
ACADEMIC,"HO, DANIEL E.; BLACK, EMILY; AGRAWALA, MANEESH; LI FEI-FEI",EVALUATING FACIAL RECOGNITION TECHNOLOGY: A PROTOCOL FOR PERFORMANCE ASSESSMENT IN NEW DOMAINS.,2021,,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=aph&AN=151985753&lang=pt-br&site=ehost-live"
SCOPUS,"Chatterjee S., N.S S., Hussain Z.",Evolution of artificial intelligence and its impact on human rights: from sociolegal perspective,2022,10.1108/IJLMA-06-2021-0156,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112517219&doi=10.1108%2fIJLMA-06-2021-0156&partnerID=40&md5=6e76afde180b83839548b69605ce840c
